Team Name,Team Member 1 Name,Team Member 2 Name,Team Member 3 Name,Title,Subtitle,Project Description,Project Links,Video Demo,Prizes
NoAura,Sanjoy Paul,Shubhojit Ghosh,,Mailto,AI-powered Personalized Outreach Workspace,"We Developers can build anything, but when its about the very opportunities we need the most, we struggle. We are not expert in outreach, sales, or marketing, but these skills decide whether our work gets noticed.
Writing personalized emails is slow, inconsistent and mentally exhausting, which limits our visibility and growth.

Mailto solves that.
Mailto is an AI powered outreach workspace that helps you generate, personalize, send and track emails from one place.

We use Google Gemini API to craft context-aware messaging and Weights & Biases to continuously learn what tone produces better response.

So users have 80% of their time, scale outreach effortlessly and get more replies, without learning marketing. It turns communication from weakness into a strength for developers, founders and builders who want their work to gain attention.

Basically Mailto is an intelligent email workspace that helps you generate, customize, send, and track emails—all from a single interface. Designed for productivity-focused users, Mailto combines AI-driven content generation with real-world email workflows like recipient management, tone control, delivery, and status tracking. It is built for the Submission for Global GenAI Hackathon hosted by Machine Learning Kolkata.

Tech Stack:
ReactJS
ExpressJS
MongoDB
NodeJS
Gemini API
Wandb Weights & Biases
Nodemailer
SMTP

Working Flow/Architecture:
First Users have to create a workspace and set context to it, it can have multiple intent like: Job Outreach, Selling a product and Collaboration.
After making workspace you can compose an email, for this you have to give the person’s X handle and email whom you want to outreach. You can manage the mail tone by customizing the sliders which have parameters such as: personalized, formal and persuasiveness.
After clicking generate we collect the user’s X posts and analyze his/her personality and tone and make a customized mail for reaching them.
On clicking send the mail gets sent with help of SMTP and nodemailer and the recipient card gets saved and renders on frontend. 
With the help of Weights and Biases we get the data of which format or what level of customization brings us the best reply rate.
",https://github.com/Shubhojit-Official/Mailto/tree/main?tab=readme-ov-file,https://youtu.be/fYv2q_RCG4w,
Null Pointer,Puskar Nath,Souvik Chakraborty,,Rakshak, An intelligent AI guardian for nuclear plants that predicts disasters before they happen and guides operators with step-by-step instructions to save lives.,"Team Name: Null Pointer
RAKSHAK: An AI System for Proactive Nuclear Safety and Automated Emergency Coordination

1. Problem Statement
The privatization and growth of the nuclear ecosystem present a significant safety concern as India pursues its clean energy aspirations under the new SHANTI ACT.
Historical disasters like Bhopal and Chernobyl taught us a brutal lesson: the greatest loss of life isn't caused by the mechanical failure itself, but by the delay in detection and poor coordination between plant operators and external emergency services.
Current SCADA(Supervisory Control And Data Acquisition) systems are Reactive—they trigger alarms only after a threshold is exceeded. In a critical meltdown scenario, this leaves minimal reaction time for operators and surrounding communities.
2. The Solution: RAKSHAK
RAKSHAK is an intelligent Human-Machine Interface (HMI) that transforms passive sensor data into proactive life-saving interventions .It's ""Physics-Constrained"" architecture guarantees that AI forecasts never go beyond safety rules or physical principles.
Key Concepts of the RAKSHAK Architecture
1. Analytics Layers (Deterministic & Machine Learning)
We split the AI analysis into two distinct parts:
•	Deterministic Safety Layer: This follows strict laws of physics. It uses Rate-of-Change Analysis ($dT/dt$ and $dP/dt$) to calculate the ""velocity of danger,"" helping us understand how fast the situation is escalating.
•	Machine-Learning Anomaly Layer: This uses advanced models  to detect tiny patterns or deviations in sensor data that are invisible to the human eye.
2. Rule-Based Safety  
This is a critical safety feature. This ensures the AI never violates reactor physics or regulatory limits. 
3. Probabilistic Root-Cause Diagnosis
The system doesn’t just say ""Danger""; it explains why it is happening using statistical confidence. For example: ""Primary Coolant Pump Failure: 85% Confidence."" This helps operators make the right decision instantly.
4. Dynamic SOP Guidance:
The system offers a particular SOP (Standard Operating Procedure) or Advisory Action Plan during a crisis. Based on the particular failure found, it provides the operator with detailed guidance on what to do next.
5. Defense-in-Depth & Security:
To satisfy regulatory bodies, the architecture includes Air-Gapped Data Access and Defense-in-Depth layers. This means the core safety logic is physically isolated from the internet to prevent cyber-attacks.
6.Safety Alert :
If the system detects a situation going out of control, it automatically sends alerts to nearby hospitals and police stations located outside the danger zone. This ensures help is ready before the crisis hits.
CONCLUSION:
Constrained AI framework to change nuclear safety from a reactive battle to a proactive approach. It prevents AI faults in critical  which guarantees complete dependability and regulatory compliance. In the end, RAKSHAK bridges the gap between detection and reaction to save lives by automating coordination with emergency services.",https://geminiworkflow.vercel.app/,https://youtu.be/Xyhirj5W_eE,
Arnab,Arnab Kumar Dey,,,HealthWise,Personalized Health Care Assistant,https://drive.google.com/file/d/1i-jl24pYb7f3usQo8LYYbRysp_Czjkvx/view?usp=sharing,https://github.com/arnab9957/HeathWise.git,https://youtu.be/-hkV75Cna1U,
Ascension,Arnab Mandal,Debaditya Majumder,Ananya Mukherjee,3D Learning Hub,An interactive 3D learning site that showcases models and answers questions via a Gemini-powered chatbot.,"3D Learning Hub is a lightweight, web-based educational platform that transforms learning into an immersive experience using interactive 3D models and an AI assistant.

Built with vanilla JavaScript, Tailwind CSS, and Google’s <model-viewer>, the platform runs as a fast static site — no heavy frameworks, no build tools, easy to deploy anywhere.

✨ Key Features

🧠 AI-powered chatbot (via secure backend + Google Gemini) for real-time learning support

🧩 Interactive 3D model viewer for visual and hands-on exploration

📱 Responsive, modern UI optimized for all devices

⚡ Zero-build deployment — host instantly on Vercel or any static server

🎯 Why It Matters

3D Learning Hub demonstrates how 3D visualization + AI can dramatically improve engagement and understanding in education — while keeping the tech stack simple, fast, and accessible.",https://github.com/Arnab-apk/Model-StudyPlace,https://youtu.be/9cCIE-nqhT0,
Solo Leveling,Sayan Senapati,,,Krishi AI,AI-powered crop disease diagnosis application,"AI-powered crop disease diagnosis application for Indian farmers. Built with Next.js, TypeScript, MongoDB, and Google Gemini AI. next step is creating one WhatsApp chat bot for al those features",https://krishi-aii.vercel.app,https://youtu.be/05lyNJCKLAE,
Frostbyte,ADRISHA BISWAS,,,MediBill AI,MediBill AI is a web app that is used for live tracking of updates in a hospital bill and giving detailed explanation of billed items when required. ,"MediBill AI is a patient-focused web app built to make hospital billing more transparent and easier to understand. Instead of revealing all charges at the time of discharge, it allows patients and families to see their bills update in real time as treatment progresses.
The idea came from noticing how confusing hospital bills can be, especially in private hospitals where medical terms, unclear charges and insurance uncertainty often leave families stressed and unprepared. MediBill AI helps reduce this confusion by explaining each bill item in simple language and indicating how insurance usually applies.
To make the experience more accessible, MediBill AI includes a family-friendly explanation mode, supports multiple languages and provides educational visual descriptions of medicines and procedures. Overall, the goal is to help patients and families stay informed, avoid surprises and feel more confident about hospital expenses.",https://github.com/adrisha-dev/medibill-ai (Github Repo)  https://medibill-ai-r96xmviyydp5zbduvxj7yk.streamlit.app/#medi-bill-ai (Demo Web app) ,https://youtu.be/ASwWTOONouU,
Prompt-as-a-Service(Paas),Suvam Paul,Vikash Kumar,Mohana Pal,DEV.OS - Advanced AI Operating System Assistant,Intelligent AI-Powered Automation Platform for Seamless System Control and Workflow Integration,"DEV.OS is an innovative AI-powered assistant designed to revolutionize how developers and users interact with their operating systems. Built with a modular microservices architecture, it seamlessly integrates cutting-edge generative AI technology to automate complex workflows.",https://github.com/Suvam-paul145/Dev-AI-OS-assistant,https://youtu.be/_-PIhqmKfw0,
Neuro Vortex,Soumyl Singh Sisodia,Altamas,Tanay Chowdhury,Skin Arogya,Skin Arogya is an AI-powered multilingual web app that identifies Acne or Eczema and provides the user with a detailed report.,"A user-friendly, AI-powered web application called Skin Arogya helps people comprehend common skin conditions like acne and eczema. In addition to describing their symptoms, such as itching, duration, or discomfort, users can upload a picture of their skin. In order to produce a clear, understandable result, the app uses both the image and their description.

Skin Arogya generates a detailed report in multiple languages using the Gemini API to enhance and broaden the experience. This report emphasizes the significance of specific symptoms and provides a straightforward explanation of the findings. With an emphasis on safety, transparency, and trust, the app does not speculate when it is unsure; instead, it makes this clear and advises users to consult a professional.",https://skinarogya.streamlit.app/ ; https://github.com/Altamas1399/skinarogya,https://youtu.be/dsF3HbBNMhw?si=U17E9XGCuOu4Wz_B,
BhayanakAtmas,Aritra Giri,Satyam Mondal,,EventHub,EventHub is an AI-powered full-stack platform that uses Gemini 3 Pro to eliminate manual data entry through intelligent ID scanning and provide hyper-personalized event recommendations based on user intent.,"EventHub – Event Engagement with Gemini 3 Pro


The Problem We’re Solving

Most people have had the experience of the problem called ""registration wall"" — that moment when you want to join an event but lose interest because you have to type out a long list of personal details. On top of that, scrolling through hundreds of events to find something that you actually want to be a part of or somewhere you actually want to be in.
To bridge this problem between organizers and attendees, we introduce “EventHub” ,making the entire problem less time-consuming and effortless rather than being a headache.


Our Proposed Solution

        EventHub, an AI-driven platform which handles the “heavy-lifting” for both the user and the administrator. Instead of a static website where everything feels dull, we built a living system which has a soul as AI that recognizes who you are and where you actually belong.
        Our core idea is simple: Handle the boring tasks, like typing forms and searching for an event for yourself, over to an AI, so we can focus on the event by our own.


How We Integrated Gemini 3 Pro

For this particular task we chose the model “Gemini 3 Pro Preview” because of its “multimodal features”, meaning it can understand images and texts simultaneously with human-like reasoning. 

A. AI-Powered Smart Registration
Instead of a manual form, we implemented a ""Scan & Go"" feature.
•        The Experience: A user simply uploads a photo of their ID card (which can be their college ID or any kind of Govt. ID).
•        The Intelligence: Gemini 3 Pro uses its vision capabilities to identify the layout of the card, extract the name and email, and even calculate the user's age based on their date of birth.
•        The Result: A registration process that used to take minutes now takes seconds, with zero typing required.
B. Contextual Event Recommendations
Most systems suggest events based on simple tags (e.g., ""Coding""). EventHub uses Gemini’s reasoning to understand the vibe of a user's interests and picks what matches their vibe perfectly.
•        The Experience: Users see a ""Top Picks"" section curated specifically for them.
•        The Intelligence: Gemini looks at a user’s profile and explains its logic. For example: ""Because you are a Computer Science student and recently attended a Logic Seminar, you might enjoy this Chess Tournament"".
•        The Result: Higher engagement because users feel the platform truly understands their professional and personal goals and tries to pick the best for the user.
C. Dynamic Access Control
We leveraged AI to help manage our secure 3-tier system (User, Moderator, Admin).
•        The Experience: Admins can ""invite"" others to help manage the site.
•        The Intelligence: The system uses secure back-end logic to generate invite notifications. Once a user accepts, the AI-driven ""Gatekeeper"" reveals their access credentials, ensuring that staff privileges are handled with high security but a smooth user flow.


Why This Matters

By using Gemini 3 Pro, we’ve moved beyond basic automation. We’ve created a platform that:
1.        Respects User Time: By eliminating manual data entry.
2.        Reduces Human Error: By letting AI handle data extraction from documents.
3.        Encourages Discovery: By making personalized suggestions that actually make sense to the user.
EventHub is not just a tool for booking events; it is a demonstration of how AI can make digital interactions feel more human.


Conclusion

        EventHub redefines the whole process of event managing by replacing the manual administrative hurdles with a seamless AI-driven experience. We have transformed the standard booking process into a modern digital concierge by prioritizing user time and personalization.
        The integration of “Google Gemini 3 Pro Preview” was a huge turn for this field, which took event managing to a next level. Its multimodal capabilities turned the complex task of ID verification into a “one-click” auto-fill action, while its reasoning engine allowed for sematic event recommendations that truly matches the vibes of the user.
        And last but not the least, this project stands out to be a proof that Generative AI can be powerful when it acts as an “invisible” layer, removing friction, enhancing security, and simplifying discovery. By combining the MERN Stack with cutting-edge AI, EventHub demonstrates that modern software can be both highly functional and genuinely human-centric.
",https://github.com/Saty-am21-04/EventHub,https://youtu.be/cSRNBgxde8k,
Trinity,Sayan Paul,Soumili Sarkar,Shreya Dutta,Serene_AI,Mental Health Assistant,"SERENE - AI-Powered Mental Wellness Companion
SERENE is a 24/7 mental health support chatbot built to provide empathetic, accessible, and private emotional support to anyone experiencing stress, anxiety, or emotional distress.

🎯 The Problem
Mental health challenges affect millions worldwide, yet professional help remains inaccessible due to cost, stigma, and long wait times. People need immediate, judgment-free support during emotional crises.

💡 Our Solution
SERENE combines Google Gemini 2.0 Flash AI with custom TensorFlow intent classification to deliver:

Instant emotional support - No waiting lists or appointments
Empathetic AI conversations - Trained specifically for mental wellness
Crisis intervention protocols - Built-in safety measures for self-harm detection
Complete privacy - All conversations stored locally, never used for training
Personalized journey tracking - Remembers your emotional patterns over time
🛠️ How It Works
Intent Classification: Custom TensorFlow model identifies mental health needs (stress, anxiety, depression, crisis)
Gemini AI Integration: Context-aware prompts generate empathetic, supportive responses
Safety First: Detects crisis situations and suggests professional resources
Persistent Memory: SQLite database maintains conversation history for continuity
🚀 Technical Stack
Frontend: React + TypeScript, Tailwind CSS, Shadcn/ui
Backend: FastAPI (Python), TensorFlow/Keras
AI: Google Gemini 2.0 Flash, custom ML models
Database: SQLite with JWT authentication
Deployment Ready: Docker, Render, Vercel compatible
🎨 Key Features
✅ Real-time AI mental health conversations
✅ Intent classification (10+ mental health categories)
✅ Multi-conversation management with search
✅ Dark/Light theme for accessibility
✅ Mobile-responsive design
✅ Secure authentication & data isolation
✅ Crisis support protocols

⚠️ Ethical Design
SERENE is NOT a replacement for professional therapy. We clearly communicate:

We don't diagnose conditions
We don't provide medical advice
We encourage seeking professional help
Emergency resources are always accessible
🌍 Impact
SERENE democratizes mental health support by providing:

Immediate help when therapists aren't available
Stigma-free environment for vulnerable conversations
24/7 availability across time zones
Free alternative to expensive therapy (supplement, not replacement)
🔮 Future Vision
Mood tracking analytics over time
Integration with professional therapist platforms
Multi-language support for global reach
Voice conversation capabilities
Community support features
SERENE isn't just a chatbot—it's a compassionate companion built to make mental wellness support accessible to everyone, everywhere, anytime. 

",https://github.com/Sayan1355/Serene_AI,https://youtu.be/vmF1oZZnvaw,
Alu Siddo,Samiran Pal,Sudipta Ghorami,Aniket Pal,Context: Your Second Brain,"A browser extension that captures webpage context, stores it as searchable AI memory, and powers a smart chatbot using Gemini embeddings.","Context - Your Personal Second Brain for Web Browsing

Ever saved a hundred bookmarks and then forgot why you saved half of them? Yeah, we've all been there. That's exactly why we built Context.

What is it?

Context is a browser extension + web app combo that helps you save the important parts of web pages (not the whole page) and then lets you chat with your saved stuff using AI. Think of it like having a personal assistant who remembers everything you told them to remember.

The Problem We're Solving

Here's the thing - bookmarks are broken. You save a page, it sits in a folder, and three weeks later you have no idea why you saved it. The title says ""React Documentation"" but which part? What were you trying to learn?

We wanted something smarter:

Save only the parts that matter to you (a paragraph, a code snippet, a key insight)
Automatically tag and categorize what you save
Search by meaning, not just keywords
Ask questions and get answers from YOUR saved knowledge
How It Actually Works

Saving Memories (Ctrl+Shift+S)

When you're on any webpage and find something useful, just hit the keyboard shortcut. The extension grabs the page info - title, URL, any text you've selected. Then our AI (Gemini) analyzes it and creates a summary, figures out why you might have saved it (learning? research? shopping?), and adds relevant tags. Everything gets stored with vector embeddings so we can search by meaning later.

The Chat Feature (RAG Pipeline)

This is the cool part. When you ask a question like ""What did I read about React hooks?"", here's what happens behind the scenes:

Your question gets converted into a vector (numbers that represent meaning)
We search through all your saved memories to find the most relevant ones
We bundle those memories as context and ask the AI to answer using ONLY your saved content
You get an answer with sources showing exactly which memories were used
It's called RAG (Retrieval Augmented Generation) - basically the AI only knows what you've told it to remember.

Dashboard & Stats

See all your memories in one place. Filter by intent (learning, research, work, etc.), search semantically, view tag clouds, check how many memories you have per category. It's your personal knowledge base visualized.

Tech Stack

Browser Extension - Chrome extension with React-based sidepanel, captures page content
Backend - Node.js + Express, handles auth, memory storage, search, and chat
Database - MongoDB for storing memories with vector embeddings
AI - Google Gemini for content analysis, summarization, embeddings, and chat responses
Frontend Web App - React + TypeScript dashboard for viewing memories and chatting
Features

One-click save - Ctrl+Shift+S saves current page with AI analysis
Smart summarization - AI creates a 1-2 sentence summary of what you saved
Auto-tagging - Automatically adds 3-5 relevant tags
Intent detection - Figures out if you're learning, researching, shopping, etc.
Semantic search - Search by meaning, not just exact words
RAG Chat - Ask questions, get answers from your saved memories
Source citations - See which memories the AI used to answer
Privacy-first - Nothing is saved unless YOU choose to save it
What Makes This Different

Most note-taking or bookmark apps either:

Save too much (whole pages you'll never read again)
Require too much manual work (tagging, organizing)
Don't let you query your knowledge
We hit a middle ground - you control what gets saved, but the AI does the boring work of organizing and retrieving. And when you need that info back, you just ask in plain English.

Privacy

We take this seriously. The extension doesn't auto-save anything. No background scraping. No selling your data. You press save, it saves. You don't press save, it doesn't exist in our system. Simple.",https://github.com/samiranpal2004/Context,https://www.youtube.com/watch?v=Nk8B8mw-tik,
NueralCoders,Bikram Mondal,Sreeja Guha Majumdar,Rohit Kumar Debnath,DevOps-Ghostwriter,"Autonomous DevOps agents to automates PR audits, security, and docs with observability via W&B Weave","An intelligent multi-agent AI system that acts as your virtual DevOps engineer. Monitor GitHub Pull Requests, perform deep security audits, execute code in sandboxes, and auto-generate documentation — all while maintaining full observability through Weights & Biases Weave. Sit back, relax, and let AI handle your DevOps workflows!",https://github.com/BikramMondal5/DevOps-Ghostwriter,https://youtu.be/g9ufl5saa7U,
codely,Biswaranjan Nag,Swapna Pal Chowdhury,,CODEQUEST,easy coding learning website gamified version,"Welcome to CodeQuest — an interactive, game-inspired platform that makes learning to code simple, engaging, and beginner-friendly.CodeQuest helps learners build strong fundamentals in Python and JavaScript through short levels, quizzes, hands-on challenges, instant feedback, and fun visual cues. Instead of long lectures, learners actively practice and learn by doing.
Why CodeQuest?

✔ Level-based learning with clear progression
✔ Separate Python and JavaScript learning paths
✔ Star and XP-based progress tracking
✔ Instant explanations for correct and wrong answers
✔ Light-hearted feedback to reduce learning stress
✔ Built-in AI tutor for on-demand coding help
✔ Clean, modern UI with light and dark mode

 Who is CodeQuest for?

• Absolute beginners in coding
• College students and self-learners
• Hackathon and academic projects
• Anyone who wants a friendly, pressure-free way to learn programming

Tech Stack

• React + TypeScript + Vite
• AI-powered tutoring (Google Gemini)
• Modern, responsive UI design
 
Learn. Practice. Improve.
CodeQuest turns coding into a guided, supportive experience where mistakes are part of the journey—not something to fear.",https://python-playground-nine.vercel.app,https://youtu.be/PQXnqBQbzvQ,
TANTRIKS,Subhojyoti Maity,Chandan Saha,,Twindex,Personalized Health Risk Analysis Powered by AI,https://twindex-write-up.vercel.app/,https://github.com/MONSTERBOY110/Twindex,https://youtu.be/T2_dkNMZqU8?si=08P-T0dqBDlgMKsL,
Strange Coders,Arko Kundu,Swastik Sarkar,,Strat OS,The Operating System for Strategic Intelligence,"StratOS is the world's first Living Strategic Twin powered by Gemini. While traditional BI tools look backward at data, StratOS looks forward using Generative Game Theory. It allows CEOs to simulate high-stakes decisions, predict specific competitor counter-moves, and generate execution blueprints—war-gaming the future before spending a dollar.

💡 The Problem (Business/FinTech track):
Strategic decision-making is currently broken. Executives rely on gut instinct or static spreadsheets to make billion-dollar bets.
The Cost: 67% of strategic plans fail due to unforeseen second-order effects.
The Gap: There is no tool that simulates ""Competitor Retaliation."" Standard AI gives generic advice; it doesn't play out the scenario like a chess engine.

🛠️ The Solution :
StratOS upgrades the concept of a ""Chatbot"" to a ""Simulation Engine.""
By leveraging Gemini’s advanced reasoning and massive context window, we created a Nash Equilibrium Engine.
Twin Synchronization: Ingests company profile and market context.
Game Theory Agents: Assigns the AI a ""Ruthless Competitor"" persona to stress-test your strategy.
Visual Logic: Converts unstructured text into a valid React Flow Data Flow Diagram (DFD) for execution.

⚙️ Technical Implementation :
Frontend: Next.js 16 (App Router) with Framer Motion for ""Reasoning Trace"" visualization.
AI Engine: Google Gemini Pro/Flash via the Vercel AI SDK. We utilize System Instructions to enforce JSON schema outputs for the competitor_profile and risk_heatmap.
Visualization: react-flow + dagre: Automated layout algorithms to render the Implementation Blueprint.
Dynamic Risk Heatmaps calculated from semantic analysis of the scenario.

🌍 Real-World Viability :
StratOS transforms strategy from an art into a science. From a startup founder deciding on a pivot to a Fortune 500 CEO weighing an acquisition, StratOS provides the one thing money can't buy: ""Foresight"".",https://ceo-in-a-box.vercel.app/,https://youtu.be/YRpLNCWM_Jg,
Evo X,Manas Kumar Ghosh,Debkanta Dey,,CropShield: The Voice-Native AI Agronomist,"Saving harvests with a multimodal AI that sees disease, senses weather, and speaks the farmer's native dialect via Gemini 2.5.","In the Global South, pests destroy 20-40% of crops annually. The cure exists, but the access does not. Existing apps rely on text, failing the millions of smallholder farmers who cannot read.
CropShield is a multilingual, multimodal AI platform that acts as a ""Digital Kissan Mitra"" (Farmer's Friend), bridging the gap between frontier AI and the furrowed field.

How we built it (The Tech Stack):

Multimodal Reasoning (Gemini 2.5 Flash): We go beyond simple image classification. CropShield combines Visual Evidence (leaf photo) + Environmental Context (Real-time Lat/Long Weather Data). The model reasons across these modalities—for example, advising against chemical spraying if rain is forecast—to generate a safe, hyper-local treatment plan.

Native Audio Agent (The Breakthrough): Leveraging Gemini 2.5’s native audio streaming, we built a real-time, bi-directional voice agent. It bypasses text entirely. Farmers can speak in their local dialect (Hindi/Bengali), and the AI listens, understands context, and responds instantly with empathy and precision.

Key Features:
Zero-Literacy Interface: Full functionality via Native Audio.
Dual-Path Remedy: Suggests both zero-cost organic solutions (""Desi Jugad"") and specific chemical brands available in local markets.
Market Linkage: Locates nearby fertilizer shops using Geolocation.

In future we will add a crop related disease catalog that works based on the crop's age ( growth stage). These feature will help farmers identify possible diseases before and after they affect the crop.

CropShield isn't just an app; it's food security in a pocket.",https://ai.studio/apps/drive/1Qf2L5cAjtL7Ct5hUAiJyXu9uX02WwVZW?fullscreenApplet=true,https://youtu.be/qL5vkqxaI18,
Ashes,Samya Deb Biswas,Anindha Biswas,Akash Biswas,Zentra,Micro finance loan dApp,"Zentra combines Google Gemini 2.0's advanced AI vision capabilities with Polygon blockchain smart contracts to revolutionize peer-to-peer lending. Our platform uses real-time deepfake detection and liveness verification for instant KYC, eliminating identity fraud while providing trustless, collateral-free loans to the underbanked. With Weights & Biases ML monitoring and dynamic trust scoring, we're building the future of financial inclusion where AI meets blockchain to create transparent, fraud-proof lending for everyone.
",https://github.com/anindhabiswas25/Zentra,https://youtu.be/-EILpMadRJI?si=DXvAb9UKzPc2I1gO ,
Team Mavericks ,Piyush Sharma ,,,Vertical Farming Planner Pro,"ertical Farm Planner an AI-tool built with Google Gemini that helps first-time vertical farm founders in India simulate pre-investment scenarios, estimating costs, revenues, and ROI to mitigate risks in sustainable urban agriculture","Hi, I'm Piyush Sharma, a 3rd-year B.Tech CSE student from The Neotia University in Kolkata. I built Vertical Farm Planner for the Global GenAI Hackathon by Machine Learning Kolkata because It's a quick web app to help new vertical farm owners in India plan without the guesswork.

Vertical farming? It's like growing veggies in stacked shelves inside buildings—no big fields needed. Uses less water (95% savings), fits in cities, grows food all year, and skips chemicals for fresh eats. Perfect for India's crowded spots and water shortages.

BUT the downside of this is it is very much cost intensive and requires costly infrastructure hence if the startups invest this big amount without proper planning it can incur huge losses to them..

HERE COMES MY VF-PLANNER-PRO,  
it simulates investments fast—input city, size, crops (lettuce/herbs), setup. Gemini AI delivers costs, revenue forecasts, ROI timelines (e.g., 30% margins in 18 months), power-saving tips, and eco-scores. No spreadsheets or consultants; turns rooftop ""Also you can CHAT with our AI Advisor to optimize your plan.",https://vertical-farm-planner-wtw7gapvd2ysvjeincptwp.streamlit.app/,https://youtu.be/AHM7BS7RIXY,
Prime,Debangan Ghosh,Soumojit Das,Soumyadeep Das Adhikary,PathShala AI,PathShala AI is an AI-powered career architect designed to guide India's youth through the complexities of the modern job market.,"PathShala AI is an AI-powered career architect designed to guide India's youth through the
complexities of the modern job market. It is a full-stack web application that provides a seamless journey from personalized
onboarding to career readiness.
Our core feature: Instead of generic courses, our platform uses AI model to generate a unique, stepby-step learning roadmap for every single user.
Our goal is to transform a user's individual skills and career ambitions into a dynamic, scannable,
and actionable plan, bridging the gap between their current abilities and their dream job.",https://github.com/debanganghosh08/PathShala-AI.git,https://youtu.be/DM6tyDBnizc?si=eGvq8yBrWy4UlLxL,
Dobby ,Soudip Biswas ,Srinjoy Pramanick ,,AssumptionLens,"A web app that analyzes code changes and surfaces the hidden engineering assumptions they introduce, remove, or strengthen—so developers understand what might break before it breaks.","We built a web app that helps developers understand the unspoken assumptions their code changes make — things like whether code will run safely in parallel, whether data will always be clean, or whether external services will behave as expected. Instead of throwing raw diffs or error messages at you, it explains potential risks in simple, human language, so you can see what might break before it actually does.",https://github.com/SoudipBiswas/genai,https://www.youtube.com/watch?v=tf2lBWJOLzM,
404s,Sayan Ghosh,Snarta Paul,Subhajit Kumar Roy,Traily,Traily is a smart Chrome extension that helps you make sense of your browsing by visually mapping your research and letting you talk to it like a personal assistant.,"Traily is a smart Chrome extension that helps you keep track of your online learning without any extra effort. As you browse articles, docs, or tutorials, Traily automatically connects related pages and turns them into a simple visual map of your research. You can then ask questions in plain language—like what you’ve already learned about a topic—and get answers based on your own browsing history. Everything stays inside your browser, so it’s private, lightweight, and designed to turn messy tabs into a clear learning journey.",https://github.com/subhajit-7047/CHROME-EXTENTION-TRAILY,https://youtu.be/m6XfmHEpOjE,
Bengal Blazers,Tousif Azim,Shreejita Biswas,,AI Stock Analyst,AI Stock Analyst is an AI-powered web application that provides intelligent stock analysis and recommendation insights using Google’s Gemini AI and real-time market data.,"We have build an AI powered Stock Analyst which povidesd quick analysis and recommendation using Gemini AI and real time market data that is provided manually by the user.It gives a clear cut verdict whether to buy,hold or avoid the stocks.",https://github.com/Tousif18/Ai-Stock-Analyst,https://drive.google.com/file/d/1XcAlN86JlikkNAagFWagLSgwXsq4fAfx/view?usp=sharing,
Kit-Kat,Rohit Ghosh,Pritam Saha,,Lecture_Lens,"Lecture_Lens is an AI-powered tool that transforms educational YouTube lectures into timestamped visual summaries, enabling faster revision through automated scene detection and Generative AI insights.","Lecture_Lens is an AI-powered application designed to make learning from long educational videos faster and more effective. Students often spend a lot of time rewatching entire lectures just to find a specific explanation or concept. Lecture_Lens solves this problem by automatically breaking down YouTube lecture videos into meaningful, easy-to-understand sections.

When a user provides a lecture video link, the system first downloads the video and uses computer vision techniques to detect important visual changes such as slide transitions, whiteboard explanations, or code demonstrations. Instead of sending the entire video to an AI model, only these key visual snapshots are selected. Each snapshot is then analyzed using a Generative AI vision model, which produces a short, clear summary explaining what is happening at that exact moment in the lecture.

The final output is a structured timeline containing timestamps, visual snapshots, and concise summaries. This allows learners to quickly scan the lecture, understand what topics are covered, and jump directly to the parts they need for revision. Lecture_Lens demonstrates how Generative AI and computer vision can work together to transform passive video lectures into organized, student-friendly study resources.",https://github.com/R0HIT-01/lecture-lens,https://youtu.be/tIQhH_j97Ho,
